trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",20,8,-3.962928640437507,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,5,-38.69158481079054,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,-149.9389425030339,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-51.70676743271473,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-30.99409656942388,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,14,9.71219618215445,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",25,11,-52.44169174702725,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 1}",1
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-53.967549084750935,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",35,11,-55.15327568973842,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",30,0,-107.50525466089984,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",20,0,-160.97214758391019,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",25,3,-19.619756413928446,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",30,17,3.687794690252168,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
